"Journal","Citations"
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",10
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
"SCIENTIFIC REPORTS",9
